x_coordinates,true_y,predicted_y,prediction_uncertainty,predict_time_s,update_tree_time_s
0.45457098591191647;0.1937573185350725,737.2315306441974,0.0,10.0,0.0016517669999984719,0.0003032419999726699
0.6286882027301574;0.7099488110873607,1257.2916096251997,0.0,737.2315306441974,0.000300389000017276,0.0002638280000155646
0.7643194730271042;0.04226944998791826,314.0526555654891,0.0,1257.2916096251997,0.00022288099989964394,0.0002282709999690269
0.24237273057589237;0.5335841035795457,829.5367654425108,0.0,1257.2916096251997,0.0002690310000161844,0.00023897200003375474
0.3441462531817705;0.6762139832540117,1168.517158231572,0.0,1257.2916096251997,0.00021663199993326998,0.00021994799999447423
0.9175783763855687;0.7289044888575178,1228.0453854953114,0.0,1257.2916096251997,0.0002686359999870547,0.00025680900000679685
0.7633997546064726;0.3372526421990252,668.9732245208262,0.0,1257.2916096251997,0.00029483100001925777,0.00022493500000564381
0.9008436112821179;0.46001990046702124,563.2282254310185,0.0,1257.2916096251997,0.0002343979999750445,0.0002440900000237889
0.2716360294788648;0.7282389828961005,745.7841082220576,0.0,1257.2916096251997,0.00021059499999864784,0.00021848100004717708
0.6290363578160005;0.2979962667370122,1048.3490226111826,0.0,1257.2916096251997,0.0002745799999956944,0.00025273899996136606
0.8435653556862709;0.7043320763507935,841.6471845858375,0.0,1257.2916096251997,0.0002094480000778276,0.0002586639999435647
0.027062656577897748;0.9014962639720223,253.0705964516062,0.0,1257.2916096251997,0.00023961800002325617,0.00027568600000904553
0.3126584668422183;0.44309805026101334,1097.4036299578102,0.0,1257.2916096251997,0.00021269700005177583,0.0002755980000301861
0.22727437704552256;0.7824450241870208,536.8870243869575,0.0,1257.2916096251997,0.00022555099997134676,0.00031713099997432437
0.26200211820070884;0.774529781659134,410.91994391069386,0.0,1257.2916096251997,0.000228730000003452,0.0002980620000698764
0.42203134438511614;0.4400738160005133,1049.9353287895997,0.0,1257.2916096251997,0.00023078799995346344,0.00022849499998756073
0.38248225568375216;0.19516049268787472,706.0020910285214,0.0,1257.2916096251997,0.00020691800000349758,0.00027175999991868593
0.2180182383853012;0.9060740147708042,1568.9637257432685,0.0,1257.2916096251997,0.0002375889999939318,0.00023296300003039505
0.511670797623831;0.7886771917241318,1028.0997371617352,0.0,1568.9637257432685,0.0002064300000483854,0.0002895740000212754
0.625918034321326;0.030554758615431,1242.2313299939874,0.0,1568.9637257432685,0.00022730499995304854,0.01596858000004886
0.2638107383465892;0.6726514442469623,1203.6747471068934,932.5630924896606,494071.4159586376,0.0005640059999905134,0.0005066840000154116
0.5313684130387538;0.40801079649409167,913.196294491064,886.4736202935198,526377.8344309987,0.0004602290000548237,0.0004671570000027714
0.6776171678374892;0.6178515784823769,1127.5217259853307,885.1881122240059,529107.2326324303,0.00037638000003425987,0.000514721000058671
0.2759660263183731;0.3004381067330597,1033.008851314502,864.3678401025769,529832.4961542604,0.00038582900003802933,0.0004154289999860339
0.22209915220345333;0.37221312067478873,1296.1556165959341,879.8502727157213,528742.4190794455,0.00037015800000972376,0.0005879689999801485
0.7468429403648226;0.06515440700411756,584.706010674687,519.0058332532432,261861.25951996137,0.0004416030000129467,0.000584319000040523
0.025298982343506693;0.6925616541606765,1207.3239575092082,863.4911502652621,347839.2675647197,0.0003789969999843379,0.0006217870000000403
0.8673964049833274;0.6116453671993061,658.6541635060541,863.5066953314744,298134.57173780387,0.000386056000024837,0.0005270990000099118
0.11645702116718537;0.6321497780037449,704.8233538435445,864.3882514699187,298677.5572687129,0.00039554600004976237,0.0005316790000051697
0.9250116258182323;0.8738691547133871,508.11558958841823,867.7728484547113,289920.7595997781,0.00037499900008697296,0.0006067559999110017
0.7391905195559214;0.5136901977662334,703.54388983638,857.5201611940129,280195.5382934448,0.0004431879999629018,0.0006089259999271235
0.689660568693997;0.8160306249598348,700.2261855644879,879.7314013755025,244072.10872128248,0.0004091079999852809,0.0005250299999488561
0.16443272912490048;0.25560953314994306,833.8507135451587,864.1674734212553,247739.33442569626,0.00038779900000918133,0.000560083999971539
0.7004318464231273;0.47168051264357735,793.1484292762648,859.2899558724978,242345.4520954516,0.00038238600006934576,0.0006182739999758269
0.7609497319824258;0.2603996375996176,1046.7811891084257,851.9547706089194,208341.23202272865,0.00037522699994951836,0.0005982359999734399
0.08431752409737603;0.4649328591345383,1326.4813613690635,865.2906807071905,180141.71895185247,0.00038284599997950863,0.0005411969999613575
0.3243350990395516;0.2558556396973607,580.2841367533497,842.9301983739479,106156.4072823611,0.00037359800001013355,0.0004796079999778158
0.8334861651844405;0.5865407030572953,757.9457911149279,860.69284024913,71520.45440913821,0.00042708100011168426,0.0007395929999347572
0.7392036886426437;0.5701021046603476,1177.0236520726132,864.4025922148148,440.4278490780688,0.00037572199994428956,0.0006891750000477259
0.998117742511506;0.9326358044425263,1049.1938282646638,864.9975672063462,391.0084929653416,0.0003955309999810197,0.019581689999995433
0.6923778970444056;0.6946651980272428,894.6696531247842,1061.0289838927615,273.2855359610423,0.0005049869999993462,0.0010279670000272745
0.01731443962534618;0.019589738560484182,1703.514550234353,887.5249022157718,288.498876437838,0.00046837100001084764,0.0006678880000663412
0.7517500129128344;0.09951343937212465,1157.4905827249993,793.4957799399526,238.21528970207456,0.0004411159999335723,0.0007718020000311299
0.8570254933852142;0.22382297475262447,1366.969353625939,916.7668155484215,283.4821892213206,0.00042164100000263716,0.0006158740000046237
0.13547920702481364;0.6955106140697073,630.3488165430692,920.1267336743543,270.3962416301069,0.00038189500003227295,0.0006120889999010615
0.3662330466498509;0.902189529272369,507.33852794973325,949.6314236181765,276.48460867648095,0.000446415000055822,0.0006414869999389339
0.41762112783771876;0.22332750976142368,743.3795550590722,726.9208019534555,234.91185054622045,0.00041284400003860355,0.0007143750000295768
0.21014708320712527;0.2840945812285838,528.3969743626773,928.7799193966508,241.1714866641658,0.0003635339999163989,0.0006358549999276875
0.7521310871042247;0.29246007984925415,664.3640560138333,914.3761335998101,232.18788484289138,0.00036333200000626675,0.0006956710000167732
0.534613613870943;0.5225549727335137,969.57483677542,898.5320295902552,328.7022334452951,0.0004134120000571784,0.0005827280000403334
0.9240903856521666;0.6914184501618236,420.79372699906173,1008.9439909259462,261.1544720385947,0.000424602000066443,0.0006559130000596269
0.08817892901612867;0.4597285035573714,1362.052823505447,1317.4762885066905,77.06713599634247,0.0004201809999813122,0.0005622529999982362
0.35351692082644703;0.34164626342571724,1012.2351511264321,956.6025202436997,321.0492500018222,0.0003988340000660173,0.0006284150000510635
0.9601129838133148;0.011739629282300768,1732.18274149822,869.4286254894598,332.26229237307155,0.000404148000029636,0.0005910779999567239
0.517120288464603;0.5690799294050957,1083.354483567476,905.1602657659047,398.3362078334213,0.00041601600003104977,0.0006525219999957699
0.2788736558814918;0.9263563810045968,999.3896075883491,1196.146077899898,324.0215183812648,0.0004217700000026525,0.0005652859999827342
0.024461901258838514;0.24157630260577723,752.4937254939932,882.2165586809884,359.80748622711207,0.0004163410000046497,0.0006454100000610197
0.18366973899167838;0.19838094717758215,1541.7048662429197,855.1030092235696,348.4346882192047,0.0003865209999958097,0.0005638220000037109
0.3034210214394396;0.46903149904879105,1125.2319641621102,1016.6290040981623,303.6691111293777,0.0003814880000163612,0.0006998220000014044
0.6392331286805233;0.11490375949109999,706.3894696201592,910.9781717646774,408.1616229153652,0.00039467499993861566,0.02733606399999644
0.4708653754407155;0.9513188722048904,1052.7074947209655,890.3961731109006,462.79503297261357,0.0005851890000485582,0.0006975080000302114
0.18189814395498827;0.6723538482361003,413.5269378669234,827.1249317012494,359.04990631253247,0.00047608299996682035,0.000723321999998916
0.7275573728477762;0.291964091546177,862.8676172065616,726.6548541883117,275.89390256204666,0.00040008300004501507,0.0008355429999937769
0.20607304738237042;0.09206220921191288,948.307612435562,941.5408878421723,487.2394914946214,0.00042593099999521655,0.0007984210000131498
0.2890406696433835;0.6287712843532709,992.7288970966636,1025.095196663267,462.72230538218884,0.00046589499993388017,0.000763987000027555
0.2323568717913863;0.6867887351390675,936.8594746526451,1017.1218309729145,357.77624541103074,0.00041369799998847157,0.0006251099999872167
0.5680793721793335;0.07645773407282397,883.252082954381,939.6883223642097,470.298226741268,0.00037874099996315636,0.0006052980000958996
0.17828657976968887;0.7171413258442809,951.0197760873464,753.1335568077059,349.5924672200128,0.0003976340000235723,0.0006740939999190232
0.8879998904977574;0.30545793305700963,1431.2856819728308,924.3395107959221,346.07495337598544,0.00046203900001273723,0.0006355870000334107
0.40881113721540985;0.4341456570643656,1051.1282388951481,1046.8090637935545,148.32794864054296,0.0004147459999330749,0.0007084879999865734
0.634185127227046;0.11769753770502067,684.7217146763376,706.4798427858511,70.24599290757585,0.00042540200001894846,0.0006427490000078251
0.3624448915092289;0.429626899626563,814.1228481132075,1038.5737418910844,194.78372557370383,0.00043785000002571905,0.0007264490000125079
